
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:56986        127.0.0.1:56985        TIME_WAIT       0
  TCP    127.0.0.1:56988        127.0.0.1:56987        TIME_WAIT       0
  TCP    127.0.0.1:56991        127.0.0.1:56990        TIME_WAIT       0
  TCP    127.0.0.1:56992        127.0.0.1:56994        TIME_WAIT       0
  TCP    127.0.0.1:56994        127.0.0.1:56992        TIME_WAIT       0
  TCP    127.0.0.1:56995        127.0.0.1:56993        TIME_WAIT       0
  TCP    127.0.0.1:56998        127.0.0.1:56996        TIME_WAIT       0
  TCP    127.0.0.1:56999        127.0.0.1:56997        TIME_WAIT       0
  TCP    127.0.0.1:57000        127.0.0.1:57001        TIME_WAIT       0
  TCP    127.0.0.1:57001        127.0.0.1:57000        TIME_WAIT       0
  TCP    127.0.0.1:57003        127.0.0.1:57002        TIME_WAIT       0
  TCP    127.0.0.1:57006        127.0.0.1:57004        TIME_WAIT       0
  TCP    127.0.0.1:57007        127.0.0.1:57005        TIME_WAIT       0
  TCP    127.0.0.1:57011        127.0.0.1:57008        TIME_WAIT       0
  TCP    127.0.0.1:57012        127.0.0.1:57009        TIME_WAIT       0
  TCP    127.0.0.1:57013        127.0.0.1:57010        TIME_WAIT       0
  TCP    127.0.0.1:57015        127.0.0.1:57014        TIME_WAIT       0
  TCP    127.0.0.1:57017        127.0.0.1:57016        TIME_WAIT       0
  TCP    127.0.0.1:57019        127.0.0.1:57018        TIME_WAIT       0
  TCP    127.0.0.1:57020        127.0.0.1:57021        TIME_WAIT       0
  TCP    127.0.0.1:57021        127.0.0.1:57020        TIME_WAIT       0
  TCP    127.0.0.1:57023        127.0.0.1:57022        TIME_WAIT       0
  TCP    127.0.0.1:57026        127.0.0.1:57024        TIME_WAIT       0
  TCP    127.0.0.1:57027        127.0.0.1:57025        TIME_WAIT       0
  TCP    127.0.0.1:57029        127.0.0.1:57028        TIME_WAIT       0
  TCP    127.0.0.1:57030        127.0.0.1:57031        TIME_WAIT       0
  TCP    127.0.0.1:57031        127.0.0.1:57030        TIME_WAIT       0
  TCP    127.0.0.1:57033        127.0.0.1:57032        TIME_WAIT       0
  TCP    127.0.0.1:57035        127.0.0.1:57034        TIME_WAIT       0
  TCP    127.0.0.1:57037        127.0.0.1:57036        TIME_WAIT       0
  TCP    127.0.0.1:57039        127.0.0.1:57038        TIME_WAIT       0
  TCP    127.0.0.1:57041        127.0.0.1:57040        TIME_WAIT       0
  TCP    127.0.0.1:57042        127.0.0.1:57043        TIME_WAIT       0
  TCP    127.0.0.1:57043        127.0.0.1:57042        TIME_WAIT       0
  TCP    127.0.0.1:57045        127.0.0.1:57044        TIME_WAIT       0
  TCP    127.0.0.1:57046        127.0.0.1:57048        TIME_WAIT       0
  TCP    127.0.0.1:57048        127.0.0.1:57046        TIME_WAIT       0
  TCP    127.0.0.1:57049        127.0.0.1:57047        TIME_WAIT       0
  TCP    127.0.0.1:57051        127.0.0.1:57050        TIME_WAIT       0
  TCP    127.0.0.1:57053        127.0.0.1:57052        TIME_WAIT       0
  TCP    127.0.0.1:57055        127.0.0.1:57054        TIME_WAIT       0
  TCP    127.0.0.1:57056        127.0.0.1:57058        TIME_WAIT       0
  TCP    127.0.0.1:57058        127.0.0.1:57056        TIME_WAIT       0
  TCP    127.0.0.1:57059        127.0.0.1:57057        TIME_WAIT       0
  TCP    127.0.0.1:57061        127.0.0.1:57060        TIME_WAIT       0
  TCP    127.0.0.1:57087        127.0.0.1:57086        TIME_WAIT       0
  TCP    127.0.0.1:57090        127.0.0.1:57088        TIME_WAIT       0
  TCP    127.0.0.1:57091        127.0.0.1:57089        TIME_WAIT       0
  TCP    127.0.0.1:57093        127.0.0.1:57092        TIME_WAIT       0
  TCP    127.0.0.1:57095        127.0.0.1:57094        TIME_WAIT       0
